State,Num Tweets,Num France,Num Belgium,Num England,Num Croatia,Fra Frac,Bel Frac,Eng Frac,Cro Frac,F Frac Err,B Frac Err,E Frac Err,C Frac Err
Oregon,30,3,5,12,10,0.1,0.16666666666666666,0.4,0.3333333333333333,0.05461183004086711,0.06746418378472079,0.09016068448432554,0.0872630018435732
Pennsylvania,74,8,14,25,27,0.10810810810810811,0.1891891891891892,0.33783783783783783,0.36486486486486486,0.036755832549715095,0.046623714190229655,0.057819739000011944,0.05871723011303162
Puerto Rico,4,0,2,1,1,0.0,0.5,0.25,0.25,0.0,0.2513635824673281,0.21199377144494155,0.21199377144494155
Rhode Island,6,0,3,3,0,0.0,0.5,0.5,0.0,0.0,0.18303404768024922,0.18303404768024922,0.0
South Carolina,24,2,5,13,4,0.08333333333333333,0.20833333333333334,0.5416666666666666,0.16666666666666666,0.05587631707410132,0.08003967240223214,0.09762345742273634,0.07665335151177911
South Dakota,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,49,6,11,15,17,0.12244897959183673,0.22448979591836735,0.30612244897959184,0.3469387755102041,0.04729825320551551,0.060162600601010266,0.0670858652541942,0.06898135677530974
Texas,230,27,45,74,84,0.11739130434782609,0.1956521739130435,0.3217391304347826,0.3652173913043478,0.02320056979695859,0.029671596943738936,0.03709652612509819,0.038292934271089256
Utah,17,1,7,6,3,0.058823529411764705,0.4117647058823529,0.35294117647058826,0.17647058823529413,0.056962801413901094,0.11274877564507443,0.10971570756683464,0.09103377912395186
Virginia,55,3,9,28,15,0.05454545454545454,0.16363636363636364,0.509090909090909,0.2727272727272727,0.030649829372636946,0.04957631157820029,0.06852307820049972,0.06268609312269603
Vermont,2,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Washington,50,2,7,20,21,0.04,0.14,0.4,0.42,0.027794050462400986,0.049315800457404455,0.07218647555056142,0.07258692130090662
Wisconsin,33,2,8,14,9,0.06060606060606061,0.24242424242424243,0.42424242424242425,0.2727272727272727,0.04148502186554154,0.07298976580224534,0.0845474294495119,0.07800681504958559
West Virginia,9,0,1,3,5,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,0.10436352541748521,0.1592563543137811,0.16795213505204565
Wyoming,0,0,0,0,0,,,,,,,,
